ST_CASE,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10
10140,12,12,12,12,12,12,12,12,12,12
10141,0,0,0,0,0,0,0,0,0,0
10142,0,0,0,0,0,0,0,0,0,0
10143,0,0,0,0,0,0,0,0,0,0
10144,23,0,0,0,0,0,0,0,0,0
10145,0,0,0,0,0,0,0,0,0,0
10146,0,0,0,0,0,0,0,0,0,0
10147,0,0,0,0,0,0,0,0,0,0
10148,26,26,26,26,26,26,26,26,26,26
10149,0,0,0,0,0,0,0,0,0,0
10150,0,0,0,0,0,0,0,0,0,0
10151,17,17,17,17,17,17,17,17,17,17
10152,0,0,0,0,0,0,0,0,0,0
10153,0,11,0,23,17,0,32,13,23,22
10154,0,0,0,0,0,0,23,40,14,0
10155,21,21,21,21,21,21,21,21,21,21
10156,11,11,11,11,11,11,11,11,11,11
10157,0,0,0,0,0,0,0,0,0,0
10158,0,0,0,0,0,0,0,0,0,0
10159,0,0,0,0,0,0,0,0,1,0
10161,0,0,49,0,11,0,0,0,0,0
10162,0,0,0,0,0,0,0,0,0,0
10163,0,0,0,0,0,0,0,0,0,0
10164,0,11,5,0,0,0,0,19,0,0
10165,0,0,0,0,0,0,0,0,0,0
10166,0,0,0,0,0,0,0,0,0,0
10167,0,0,0,0,0,0,0,0,0,0
10168,9,9,9,9,9,9,9,9,9,9
10169,16,0,2,0,6,4,0,9,14,9
10170,0,24,12,22,12,0,18,12,28,38
10171,19,19,19,19,19,19,19,19,19,19
10172,0,0,0,0,0,0,0,0,0,0
10173,0,5,0,0,25,0,0,0,17,0
10174,0,0,20,0,0,0,0,0,0,0
10175,11,11,11,11,11,11,11,11,11,11
10176,13,13,13,13,13,13,13,13,13,13
10177,0,0,0,0,0,0,0,0,0,0
10178,0,0,0,29,24,0,0,0,0,0
10179,0,0,0,0,0,0,0,0,0,0
10180,0,0,0,0,0,0,0,0,0,0
10181,0,0,0,0,0,0,0,0,0,0
10182,0,0,0,0,0,0,0,0,0,0
10183,18,18,18,18,18,18,18,18,18,18
10184,0,0,0,0,0,0,0,0,0,0
10185,0,0,0,0,0,0,0,0,0,0
10186,0,0,0,0,0,0,0,0,0,0
10187,0,0,0,0,0,0,0,0,0,0
10188,11,11,11,11,11,11,11,11,11,11
10189,5,5,5,5,5,5,5,5,5,5
10190,0,7,7,0,12,14,0,0,0,19
10191,0,0,0,18,14,0,0,0,37,0
10192,0,0,0,0,0,0,0,0,13,0
10193,18,18,18,18,18,18,18,18,18,18
10194,14,0,0,17,14,5,22,0,0,16
10195,9,9,20,9,9,9,9,9,18,9
10196,33,0,20,0,0,25,5,28,0,7
10197,0,0,0,0,0,0,0,0,0,0
10198,0,0,0,0,0,0,0,0,0,0
10199,0,0,0,0,0,0,0,0,0,0
10201,0,0,0,0,0,0,14,0,0,0
10202,20,15,0,19,16,21,0,0,6,16
10203,0,0,0,10,0,0,0,0,0,0
10204,21,21,21,21,21,21,21,21,21,21
10205,0,0,37,0,19,0,0,0,13,0
10206,0,15,0,3,0,0,0,0,0,0
10207,0,0,0,0,0,0,0,0,0,0
10208,0,16,0,0,0,0,0,12,5,0
10209,0,13,0,0,0,0,0,0,0,0
10210,0,0,0,14,0,29,0,0,39,6
10211,0,0,0,0,0,0,23,0,0,0
10212,0,0,0,0,0,0,0,0,0,0
10213,9,14,0,0,0,0,0,0,0,0
10214,0,0,0,0,0,0,0,0,0,0
10215,0,0,0,0,0,13,0,0,0,0
10216,0,0,0,0,0,0,0,0,8,0
10217,0,0,0,0,0,22,24,0,0,0
10218,0,0,0,14,0,0,0,0,0,0
10219,12,12,12,12,12,12,12,12,12,12
10220,11,18,26,7,16,14,18,27,38,20
10221,0,0,0,14,0,0,0,0,15,0
10222,2,2,2,2,2,2,2,2,2,10
10223,0,0,7,0,0,0,0,0,0,0
10224,0,0,0,0,0,0,0,0,0,0
10225,4,22,11,7,11,4,20,8,12,9
10226,0,0,0,0,0,0,0,0,0,0
10227,0,0,0,0,0,0,0,0,0,0
10228,26,26,26,26,26,26,26,26,26,26
10229,0,0,0,0,0,0,0,0,0,16
10230,0,0,0,0,0,0,0,0,0,0
10231,0,0,0,0,0,15,0,0,0,0
10232,3,3,3,3,3,3,3,3,3,3
10233,0,0,0,0,0,0,0,0,0,0
10234,0,0,0,0,0,0,0,0,0,0
10235,24,24,24,24,24,24,24,24,24,24
10236,0,0,26,0,0,0,0,16,10,24
10237,0,0,0,0,0,0,0,0,0,0
10238,29,29,29,29,29,29,29,29,29,29
10239,0,0,0,0,0,0,0,0,0,0
10240,0,0,0,0,0,0,0,0,0,0
10241,0,0,0,0,0,0,0,0,0,0
10242,0,0,0,0,0,0,0,0,0,0
10243,0,0,0,0,0,0,0,0,0,0
10244,29,23,24,26,0,0,0,0,3,18
10245,0,0,0,0,0,0,0,0,0,0
10246,40,40,40,40,40,40,40,40,40,40
10247,0,0,0,0,0,0,0,0,0,0
10248,0,0,0,0,0,0,0,0,0,0
10249,0,0,0,0,0,0,14,0,0,0
10250,0,0,0,0,0,0,0,0,0,0
10251,0,0,0,0,0,0,0,0,0,10
10252,24,24,24,24,24,24,24,24,24,24
10253,0,0,0,0,0,0,0,0,0,0
10254,12,12,12,12,12,12,12,12,12,12
10255,0,0,0,18,16,0,0,0,20,0
10256,20,0,6,23,0,0,0,0,0,0
10257,0,0,0,0,0,0,0,7,0,0
10258,0,0,0,0,0,0,0,0,0,0
10259,0,0,0,0,0,0,0,0,0,0
10260,0,0,0,0,0,0,0,0,0,0
10261,0,0,0,0,0,0,6,0,0,0
10262,0,0,0,0,0,0,0,0,0,0
10263,0,0,0,0,0,0,0,0,0,0
10264,36,0,0,0,0,0,0,0,0,28
10265,0,0,0,0,0,0,0,0,0,0
10266,0,0,0,0,0,0,0,0,0,0
10267,0,0,0,0,0,0,0,0,0,0
10268,0,0,0,0,0,0,0,0,0,0
10269,0,0,0,0,0,0,0,0,0,0
10270,22,0,0,0,0,0,4,0,18,8
10271,0,0,0,0,0,0,0,0,0,0
10272,14,14,14,14,14,14,14,14,14,14
10274,13,13,13,13,18,13,13,13,13,13
10275,0,5,6,6,17,33,0,0,0,15
10276,0,0,0,0,0,0,3,10,13,15
10277,0,18,0,0,0,0,0,0,0,0
10278,0,0,0,0,0,0,0,0,0,0
10279,0,0,0,0,0,0,0,0,0,0
10280,27,27,27,27,27,27,27,27,27,27
10281,0,15,0,0,17,0,17,0,0,0
10282,0,0,0,6,0,0,0,0,0,0
10283,0,0,0,0,0,0,0,0,3,0
10284,0,0,0,0,0,0,0,0,0,0
10285,0,0,0,0,0,0,0,0,0,0
10286,5,5,5,5,5,5,5,5,5,5
10287,9,9,9,9,9,9,22,9,9,9
10288,0,0,19,0,38,4,0,10,0,0
10289,0,0,0,0,0,0,0,0,0,0
10290,0,0,21,27,7,10,0,15,0,11
10291,10,10,10,10,10,10,10,10,10,10
10292,0,0,0,0,0,0,0,0,0,0
10293,0,0,0,0,0,0,0,0,0,0
10294,19,4,0,0,0,13,0,0,0,0
10295,0,12,0,0,0,0,0,0,16,17
10296,22,22,22,22,22,22,22,22,22,22
10297,0,0,10,0,0,0,24,11,12,0
10298,0,19,0,0,0,0,0,0,0,11
10299,16,16,16,16,16,16,16,16,16,16
10300,0,0,0,0,0,10,0,8,0,0
10301,0,0,0,0,0,0,0,0,0,0
10302,8,8,8,8,8,8,8,8,8,8
10303,0,0,0,0,0,0,18,7,0,5
10304,4,4,4,4,4,4,4,4,4,4
10305,0,0,0,20,0,0,0,0,6,0
10306,0,0,0,0,0,0,0,15,0,0
10307,0,35,10,10,0,0,0,0,9,12
10308,0,0,0,0,0,0,0,0,0,0
10309,0,0,0,0,0,0,0,13,0,33
10310,23,0,0,0,26,0,17,0,0,0
10311,0,0,0,0,0,0,0,0,0,0
10312,0,0,0,0,0,0,0,0,0,0
10313,0,0,0,0,0,0,0,0,0,0
10314,0,0,0,0,0,0,0,0,0,0
10315,0,0,0,0,0,0,0,0,0,0
10316,0,0,0,0,0,0,0,0,0,0
10317,0,0,0,0,0,0,0,0,0,0
10318,13,20,10,2,14,0,19,5,22,13
10319,30,25,0,4,0,0,0,0,0,0
10320,27,27,27,27,27,27,27,27,27,27
10321,8,8,8,8,8,8,8,8,8,8
10322,0,13,0,26,0,20,7,7,0,9
10323,36,36,36,36,36,36,36,36,36,36
10324,10,20,21,22,38,12,30,19,29,11
10325,0,0,0,0,0,0,0,0,0,0
10326,0,0,0,0,0,0,0,0,0,0
10327,0,0,0,0,0,0,0,0,0,0
10328,0,0,0,0,8,30,0,0,0,0
10329,0,0,0,0,0,0,0,0,0,0
10330,0,0,0,0,0,0,0,0,0,0
10331,0,6,0,0,0,33,0,0,0,0
10332,0,0,0,0,0,0,0,0,0,0
10333,0,0,0,0,0,0,0,0,0,0
10334,0,0,0,0,0,0,0,0,0,0
10335,0,0,0,17,0,0,0,0,0,0
10336,0,17,0,0,0,31,0,0,0,0
10337,14,0,0,17,0,28,17,9,8,0
10338,0,0,0,0,0,0,0,0,0,0
10339,0,0,0,0,0,0,0,0,0,0
10340,8,8,8,8,8,8,8,8,8,8
10341,0,0,0,0,0,0,0,0,0,0
10342,0,0,0,0,0,0,0,0,0,0
10343,6,6,6,6,6,6,6,6,6,6
10344,0,29,9,0,0,0,0,0,16,9
10345,0,0,11,23,0,0,0,0,0,11
10346,0,0,0,0,0,0,0,0,0,0
10348,11,21,18,17,16,17,18,33,16,14
10349,0,0,0,0,0,0,0,0,0,0
10350,0,0,7,0,8,0,0,0,0,0
10351,9,9,13,12,21,12,0,23,8,14
10352,6,13,8,6,21,0,8,0,11,11
10353,0,12,0,0,20,18,0,0,0,0
10354,0,0,0,0,0,7,0,0,0,0
10355,0,22,22,21,11,19,10,35,18,9
10356,11,11,11,11,11,11,11,11,11,11
10357,0,0,0,0,0,0,0,0,0,0
10358,0,0,0,0,0,0,0,0,0,0
10359,16,8,0,0,0,15,0,10,14,29
10360,0,0,0,0,0,0,0,0,0,0
10361,10,16,0,0,0,0,17,3,0,4
10362,0,13,26,11,10,8,11,0,12,0
10363,0,0,15,0,0,0,0,0,2,0
10364,23,23,23,23,23,23,23,23,23,23
10365,0,0,0,0,0,0,0,0,0,0
10366,0,13,12,6,7,0,7,13,12,16
10367,16,22,0,0,0,0,0,0,0,0
10368,0,0,0,0,0,0,0,0,0,0
10369,0,0,0,0,0,0,0,0,0,0
10370,0,0,0,0,0,0,0,0,0,0
10371,0,0,0,0,0,0,0,0,10,0
10372,0,0,0,0,0,0,0,0,0,0
10373,21,21,21,21,21,21,21,21,21,21
10374,0,10,0,0,13,0,6,0,0,0
10375,5,5,5,5,5,5,5,5,5,5
10376,17,29,17,17,17,18,23,18,17,36
10377,13,19,0,0,0,0,1,29,0,0
10378,0,0,0,0,0,27,0,0,0,0
10379,23,22,0,26,22,21,29,15,11,26
10380,0,0,0,0,0,0,0,0,0,0
10381,2,2,2,2,2,2,2,2,2,2
10382,0,0,0,0,0,9,0,0,0,0
10383,0,0,0,0,21,0,0,0,0,0
10384,0,0,0,0,0,0,0,0,0,0
10385,21,21,21,21,21,21,21,21,21,21
10386,0,14,0,0,34,0,18,0,0,0
10387,9,21,7,26,17,0,8,21,0,13
10388,0,0,0,0,0,0,0,0,0,0
10389,0,0,0,0,0,0,0,0,0,0
10390,0,0,0,0,0,0,0,0,0,0
10391,12,12,12,12,12,12,12,12,12,12
10392,11,11,11,11,11,11,20,11,11,11
10393,0,0,0,0,0,0,0,0,0,0
10394,0,0,0,0,0,0,0,0,0,0
10395,19,19,19,19,19,19,19,19,19,19
10396,0,0,0,0,0,0,0,0,0,0
10397,32,0,0,0,14,10,0,0,9,0
10398,0,0,0,0,0,0,0,0,0,0
10399,3,3,3,3,3,3,3,3,3,3
10400,0,0,0,0,15,0,0,0,0,0
10401,0,0,0,0,0,0,0,0,0,0
10402,0,0,0,0,0,16,0,0,0,0
10403,0,0,0,0,0,0,0,0,0,17
10404,0,0,0,0,0,0,0,0,19,8
